Date,Open,High,Low,Close,Adj Close,Volume
2003-12-18,19.482599,19.596901,19.025499,19.139799,19.139799,4978496
2003-12-19,19.368299,19.425501,18.282801,18.454201,18.454201,1410901
2003-12-22,18.739901,18.739901,17.997101,18.054300,18.054300,137047
2003-12-23,17.997101,17.997101,17.368700,17.425800,17.425800,229418
2003-12-24,null,null,null,null,null,null
2003-12-25,null,null,null,null,null,null
2003-12-26,null,null,null,null,null,null
2003-12-29,17.425800,17.425800,16.854500,17.254400,17.254400,196206
2003-12-30,17.425800,17.882900,17.425800,17.711500,17.711500,67298
2003-12-31,null,null,null,null,null,null
2004-01-01,null,null,null,null,null,null
2004-01-02,17.940001,18.054300,17.768600,17.768600,17.768600,322923
2004-01-05,18.054300,18.054300,17.711500,17.711500,17.711500,182782
2004-01-06,17.940001,17.997101,17.597200,17.597200,17.597200,300054
2004-01-07,17.425800,17.711500,17.140100,17.140100,17.140100,189937
2004-01-08,17.083000,17.140100,16.740200,16.740200,16.740200,219861
2004-01-09,16.797300,17.425800,16.568800,17.425800,17.425800,336190
2004-01-12,17.140100,17.940001,17.140100,17.940001,17.940001,271528
2004-01-13,17.940001,18.282801,17.768600,18.225700,18.225700,851844
2004-01-14,18.282801,18.454201,18.225700,18.397100,18.397100,447547
2004-01-15,18.054300,18.625601,18.054300,18.625601,18.625601,919440
2004-01-16,18.625601,18.682699,18.511299,18.511299,18.511299,58993
2004-01-19,18.511299,18.511299,17.711500,17.997101,17.997101,41595
2004-01-20,17.997101,18.111401,17.997101,18.111401,18.111401,30630
2004-01-21,18.111401,18.111401,17.997101,18.054300,18.054300,26604
2004-01-22,18.168501,18.511299,18.111401,18.511299,18.511299,58109
2004-01-23,18.397100,18.397100,18.111401,18.111401,18.111401,2100
2004-01-26,18.225700,18.225700,17.997101,18.054300,18.054300,5601
2004-01-27,18.054300,18.282801,18.054300,18.111401,18.111401,93815
2004-01-28,17.711500,17.711500,17.311501,17.311501,17.311501,164526
2004-01-29,17.140100,17.140100,17.140100,17.140100,17.140100,165226
2004-01-30,17.025900,17.025900,16.568800,17.025900,17.025900,174153
2004-02-02,17.140100,17.140100,16.797300,16.797300,16.797300,295447
2004-02-03,16.854500,17.140100,16.568800,17.083000,17.083000,112835
2004-02-04,17.083000,17.083000,16.854500,16.854500,16.854500,33955
2004-02-05,17.140100,17.140100,16.797300,16.854500,16.854500,4901
2004-02-06,17.140100,17.140100,16.854500,16.911600,16.911600,14095
2004-02-09,16.797300,17.140100,16.797300,17.140100,17.140100,635964
2004-02-10,17.140100,17.140100,16.683001,16.797300,16.797300,105542
2004-02-11,16.854500,16.854500,16.454500,16.454500,16.454500,151767
2004-02-12,16.625900,16.854500,16.568800,16.740200,16.740200,81388
2004-02-13,16.854500,16.854500,15.540400,15.997400,15.997400,28355
2004-02-16,16.454500,16.568800,15.997400,15.997400,15.997400,13026
2004-02-17,16.283100,16.340200,16.283100,16.283100,16.283100,3222
2004-02-18,16.340200,16.454500,16.168800,16.454500,16.454500,252049
